appid,name,developers,publishers,currency,windows,linux,mac,release_date,genre_strategy,genre_rpg,genre_early access,genre_racing,genre_indie,genre_action,genre_simulation,genre_casual,genre_adventure,genre_massively multiplayer,genre_sports,cat_online_pvp,cat_downloadable_content,cat_single-player,cat_full_controller_support,cat_captions_available,cat_multi-player,cat_shared/split_screen_co-op,cat_steam_cloud,cat_mmo,cat_includes_level_editor,cat_hdr_available,cat_remote_play_on_tv,cat_steam_leaderboards,cat_pvp,cat_lan_co-op,cat_family_sharing,cat_shared/split_screen_pvp,cat_steam_workshop,cat_remote_play_on_tablet,cat_co-op,cat_cross-platform_multiplayer,cat_remote_play_on_phone,cat_stats,cat_remote_play_together,cat_partial_controller_support,cat_shared/split_screen,cat_in-app_purchases,cat_online_co-op,cat_valve_anti-cheat_enabled,cat_steam_trading_cards,cat_steam_achievements,cat_lan_pvp
1466060,Tainted Grail: The Fall of Avalon,Questline,Awaken Realms,$30-$40,1,0,0,2025-05-23,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553850,HELLDIVERS™ 2,Arrowhead Game Studios,PlayStation Publishing LLC,$40-$50,1,0,0,2024-02-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
2993780,FANTASY LIFE i: The Girl Who Steals Time,LEVEL5 Inc.,LEVEL5 Inc.,$50-$60,1,0,0,2025-05-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
2622380,ELDEN RING NIGHTREIGN,"FromSoftware, Inc.","FromSoftware, Inc.",$30-$40,1,0,0,2025-05-29,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1903340,Clair Obscur: Expedition 33,Sandfall Interactive,Kepler Interactive,$40-$50,1,0,0,2025-04-24,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2104890,RoadCraft,Saber Interactive,Focus Entertainment,$30-$40,1,0,0,2025-05-20,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
2183900,"Warhammer 40,000: Space Marine 2",Saber Interactive,Focus Entertainment,$50-$60,1,0,0,2024-09-09,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
3017860,DOOM: The Dark Ages,id Software,Bethesda Softworks,More than $60,1,0,0,2025-05-14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,$50-$60,1,0,0,2020-12-09,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1086940,Baldur's Gate 3,Larian Studios,Larian Studios,$50-$60,1,0,1,2023-08-03,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
